sample	trait	efo_id	pgs_id	source_pmid	n_variants	training_ancestry	n_matched	match_rate	inferred_ancestry	most_similar_pop	ancestry_distance	percentile	z_score	ci_low	ci_high	absolute_risk	baseline_incidence	risk_ratio	robustness_n_scores	robustness_concordance	evidence_grade	portability_flag	allowed_statement
SPL250502092712	breast cancer	MONDO_0004989	PGS000492	32991828	1120410	EUR	1004003	0.8961	EUR	EUR	NA	66.3	0.4393	NA	NA	0.1391	0.129	1.091	2	0.713	A	false	absolute risk ~14% for a female vs ~13% population baseline (odds-scale, per-SD effect 1.61, illustrative — verify per release) | explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	breast cancer	MONDO_0004989	PGS000500	32991828	1120410	EUR	1004003	0.8961	EUR	EUR	NA	37.6	-0.2931	NA	NA	0.1021	0.129	0.768	2	0.713	A	false	absolute risk ~10% for a female vs ~13% population baseline (odds-scale, per-SD effect 1.61, illustrative — verify per release) | explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	testicular cancer	MONDO_0005447	PGS000599	32991828	31	EUR	23	0.7419	EUR	EUR	NA	66.7	0.3766	NA	NA	NA	NA	NA	2	0.729	D	false	low variant coverage (74% of 31 scoring variants matched) — input is not full-genotype; raw score is biased and NOT a valid PRS | explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 27, concordance 0.729, different risk tertiles) — treat as uncertain
SPL250502092712	testicular cancer	MONDO_0005447	PGS000600	32991828	250	EUR	189	0.756	EUR	EUR	NA	39.6	-0.2903	NA	NA	NA	NA	NA	2	0.729	B	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 27, concordance 0.729, different risk tertiles) — treat as uncertain
SPL250502092712	lipoprotein(a)	EFO_0006925	PGS000667	33021622	43	EUR	31	0.7209	EUR	EUR	NA	5.6	-0.9109	NA	NA	NA	NA	NA	2	0.168	D	false	low variant coverage (72% of 43 scoring variants matched) — input is not full-genotype; raw score is biased and NOT a valid PRS | explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 83, concordance 0.168, different risk tertiles) — treat as uncertain
SPL250502092712	chronic kidney disease	MONDO_0005300	PGS000728	34750571	1958860	EUR	1811962	0.925	EUR	EUR	NA	40.2	-0.2213	NA	NA	NA	NA	NA	2	0.862	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	lung cancer	MONDO_0005138	PGS000740	33472890	128	EUR	95	0.7422	EUR	EUR	NA	91.6	1.4093	NA	NA	NA	NA	NA	2	0.148	C	false	low variant coverage (74% of 128 scoring variants matched) — input is not full-genotype; raw score is biased and NOT a valid PRS | explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 85, concordance 0.148, different risk tertiles) — treat as uncertain
SPL250502092712	lipoprotein(a)	EFO_0006925	PGS000752	33522245	11446	EUR	10657	0.9311	EUR	EUR	NA	88.8	1.1773	NA	NA	NA	NA	NA	2	0.168	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 83, concordance 0.168, different risk tertiles) — treat as uncertain
SPL250502092712	bladder cancer	MONDO_0004986	PGS000782	33247094	15	EUR	10	0.6667	EUR	EUR	NA	28.2	-0.5588	NA	NA	NA	NA	NA	2	0.894	C	false	low variant coverage (67% of 15 scoring variants matched) — input is not full-genotype; raw score is biased and NOT a valid PRS | explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 11, concordance 0.894, different risk tertiles) — treat as uncertain
SPL250502092712	multiple sclerosis	MONDO_0005301	PGS000809	34088990	127	EUR	110	0.8661	EUR	EUR	NA	57.6	0.1735	NA	NA	NA	NA	NA	2	0.884	B	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 12, concordance 0.884, different risk tertiles) — treat as uncertain
SPL250502092712	Parkinson disease	MONDO_0005180	PGS000902	31701892	90	MAE	72	0.8	EUR	EUR	NA	97.9	2.1384	NA	NA	NA	NA	NA	2	0.838	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	Parkinson disease	MONDO_0005180	PGS000903	31701892	1805	MAE	1670	0.9252	EUR	EUR	NA	81.7	0.8932	NA	NA	NA	NA	NA	2	0.838	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	asthma	MONDO_0004979	PGS001782	36777179	884043	EUR	831690	0.9408	EUR	EUR	NA	31.5	-0.5142	NA	NA	NA	NA	NA	2	0.857	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	chronic obstructive pulmonary disease	MONDO_0005002	PGS001783	36777179	884139	EUR	831780	0.9408	EUR	EUR	NA	67.2	0.4557	NA	NA	NA	NA	NA	2	0.785	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 22, concordance 0.785, different risk tertiles) — treat as uncertain
SPL250502092712	chronic obstructive pulmonary disease	MONDO_0005002	PGS001788	36777179	910082	EUR	856186	0.9408	EUR	EUR	NA	45.7	-0.1034	NA	NA	NA	NA	NA	2	0.785	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 22, concordance 0.785, different risk tertiles) — treat as uncertain
SPL250502092712	gout	MONDO_0005393	PGS001789	36777179	910151	EUR	856249	0.9408	EUR	EUR	NA	53.7	0.087	NA	NA	NA	NA	NA	2	0.927	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	glaucoma	MONDO_0005041	PGS001792	36777179	911402	EUR	857425	0.9408	EUR	EUR	NA	9.9	-1.3663	NA	NA	NA	NA	NA	2	0.705	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 30, concordance 0.705, different risk tertiles) — treat as uncertain
SPL250502092712	hyperthyroidism	MONDO_0010138	PGS001815	34995502	280	EUR	253	0.9036	EUR	EUR	NA	99.4	2.8508	NA	NA	NA	NA	NA	2	1.0	D	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	hyperthyroidism	MONDO_0010138	PGS002023	34995502	279385	EUR	251222	0.8992	EUR	EUR	NA	99.4	3.0206	NA	NA	NA	NA	NA	2	1.0	D	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	coeliac disease	MONDO_0005130	PGS002067	34995502	58231	EUR	52516	0.9019	EUR	EUR	NA	86.5	1.1586	NA	NA	NA	NA	NA	2	0.877	D	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	venous thromboembolism	MONDO_0005399	PGS002235	34725413	36	EUR	28	0.7778	EUR	EUR	NA	32.9	-0.4633	NA	NA	NA	NA	NA	2	0.858	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 14, concordance 0.858, different risk tertiles) — treat as uncertain
SPL250502092712	colorectal cancer	MONDO_0005575	PGS002252	35026030	141	EUR	114	0.8085	EUR	EUR	NA	30.4	-0.5188	NA	NA	0.028	0.039	0.711	2	0.925	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 8, concordance 0.925, different risk tertiles) — treat as uncertain
SPL250502092712	fatty liver disease	MONDO_0013209	PGS002282	35293152	68	EUR	51	0.75	EUR	EUR	NA	4.2	-1.7043	NA	NA	NA	NA	NA	2	0.922	B	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	fatty liver disease	MONDO_0013209	PGS002283	35293152	15	EUR	12	0.8	EUR	EUR	NA	12.0	-1.1684	NA	NA	NA	NA	NA	2	0.922	B	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	HbA1c	EFO_0004541	PGS002331	35393596	1109311	EUR	994463	0.8965	EUR	EUR	NA	84.3	1.0133	NA	NA	NA	NA	NA	2	0.853	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	psoriasis	MONDO_0005083	PGS002344	35393596	1109311	EUR	994463	0.8965	EUR	EUR	NA	25.0	-0.6916	NA	NA	NA	NA	NA	2	0.86	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 14, concordance 0.86, different risk tertiles) — treat as uncertain
SPL250502092712	waist-hip ratio	EFO_0004343	PGS002356	35393596	1109311	EUR	994463	0.8965	EUR	EUR	NA	51.7	0.0216	NA	NA	NA	NA	NA	2	0.625	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 38, concordance 0.625, different risk tertiles) — treat as uncertain
SPL250502092712	HbA1c	EFO_0004541	PGS002697	35393596	989344	EUR	888548	0.8981	EUR	EUR	NA	69.6	0.4958	NA	NA	NA	NA	NA	2	0.853	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	psoriasis	MONDO_0005083	PGS002710	35393596	566839	EUR	509706	0.8992	EUR	EUR	NA	39.0	-0.2588	NA	NA	NA	NA	NA	2	0.86	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 14, concordance 0.86, different risk tertiles) — treat as uncertain
SPL250502092712	ischemic stroke	HP_0002140	PGS002724	36180795	1213574	EUR	1090804	0.8988	EUR	EUR	NA	27.3	-0.6395	NA	NA	NA	NA	NA	2	0.894	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 11, concordance 0.894, different risk tertiles) — treat as uncertain
SPL250502092712	pancreatic cancer	MONDO_0005192	PGS002740	35398288	22	EUR	17	0.7727	EUR	EUR	NA	19.5	-0.8152	NA	NA	NA	NA	NA	2	0.703	B	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 30, concordance 0.703, different risk tertiles) — treat as uncertain
SPL250502092712	ADHD	MONDO_0007743	PGS002746	35752070	513659	EUR	406891	0.7921	EUR	EUR	NA	39.9	-0.2115	NA	NA	NA	NA	NA	2	0.882	B	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	glaucoma	MONDO_0005041	PGS002761	36347255	1082518	EUR	970724	0.8967	EUR	EUR	NA	39.4	-0.2595	NA	NA	NA	NA	NA	2	0.705	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 30, concordance 0.705, different risk tertiles) — treat as uncertain
SPL250502092712	gout	MONDO_0005393	PGS002762	36347255	1092214	EUR	979363	0.8967	EUR	EUR	NA	61.0	0.277	NA	NA	NA	NA	NA	2	0.927	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	osteoarthritis	MONDO_0006629	PGS002763	36347255	1052273	EUR	944529	0.8976	EUR	EUR	NA	52.2	0.076	NA	NA	NA	NA	NA	2	0.642	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 36, concordance 0.642, different risk tertiles) — treat as uncertain
SPL250502092712	osteoporosis	MONDO_0005298	PGS002768	36347255	1091549	EUR	979333	0.8972	EUR	EUR	NA	9.6	-1.3357	NA	NA	NA	NA	NA	2	0.349	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 65, concordance 0.349, different risk tertiles) — treat as uncertain
SPL250502092712	HDL cholesterol	EFO_0004612	PGS002781	36575460	1239184	EUR	1121201	0.9048	EUR	EUR	NA	64.0	0.3148	NA	NA	NA	NA	NA	2	0.985	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	triglycerides	EFO_0004530	PGS002784	36575460	30071	EUR	24451	0.8131	EUR	EUR	NA	42.3	-0.2039	NA	NA	NA	NA	NA	2	0.944	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	bipolar disorder	MONDO_0004985	PGS002786	36028495	948996	EUR	850929	0.8967	EUR	EUR	NA	88.0	1.1876	NA	NA	NA	NA	NA	1	NA	C	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	autism spectrum disorder	MONDO_0005258	PGS002790	36028495	916713	EUR	822352	0.8971	EUR	EUR	NA	87.0	1.1189	NA	NA	NA	NA	NA	2	0.682	C	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 32, concordance 0.682, different risk tertiles) — treat as uncertain
SPL250502092712	height	OBA_VT0001253	PGS002802	36224396	1103042	MAE	913566	0.8282	EUR	EUR	NA	62.5	0.3864	NA	NA	NA	NA	NA	2	0.891	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	C-reactive protein	EFO_0004458	PGS002867	36152628	10306310	EUR	8139378	0.7897	EUR	EUR	NA	17.1	-0.9342	NA	NA	NA	NA	NA	2	0.946	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	venous thromboembolism	MONDO_0005399	PGS003332	36658437	1092045	EUR	984288	0.9013	EUR	EUR	NA	47.1	-0.1092	NA	NA	NA	NA	NA	2	0.858	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 14, concordance 0.858, different risk tertiles) — treat as uncertain
SPL250502092712	major depressive disorder	MONDO_0002009	PGS003333	35965108	1088415	EUR	976422	0.8971	EUR	EUR	NA	72.6	0.5979	NA	NA	NA	NA	NA	2	0.894	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	endometrial cancer	MONDO_0002447	PGS003381	36286845	529365	EUR	419189	0.7919	EUR	EUR	NA	4.3	-1.7163	NA	NA	NA	NA	NA	2	0.944	B	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	ankylosing spondylitis	MONDO_0005306	PGS003420	36510243	100	EAS	91	0.91	EUR	EUR	NA	92.4	1.4501	NA	NA	NA	NA	NA	2	0.838	D	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	ankylosing spondylitis	MONDO_0005306	PGS003423	36510243	100	EAS	87	0.87	EUR	EUR	NA	76.2	0.5777	NA	NA	NA	NA	NA	2	0.838	D	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	major depressive disorder	MONDO_0002009	PGS003442	36653486	8	EUR	7	0.875	EUR	EUR	NA	83.2	0.9554	NA	NA	NA	NA	NA	2	0.894	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	atopic dermatitis	MONDO_0004980	PGS003459	36804406	170	EUR	125	0.7353	EUR	EUR	NA	47.4	-0.1237	NA	NA	NA	NA	NA	2	0.869	C	false	low variant coverage (74% of 170 scoring variants matched) — input is not full-genotype; raw score is biased and NOT a valid PRS | explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	waist-hip ratio	EFO_0004343	PGS003484	36174398	855882	EUR	766439	0.8955	EUR	EUR	NA	14.2	-1.0731	NA	NA	NA	NA	NA	2	0.625	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 38, concordance 0.625, different risk tertiles) — treat as uncertain
SPL250502092712	atopic dermatitis	MONDO_0004980	PGS003486	36804406	71	EUR	50	0.7042	EUR	EUR	NA	34.3	-0.4307	NA	NA	NA	NA	NA	2	0.869	C	false	low variant coverage (70% of 71 scoring variants matched) — input is not full-genotype; raw score is biased and NOT a valid PRS | explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	intelligence	EFO_0004337	PGS003724	36150907	6683248	EUR	5285273	0.7908	EUR	EUR	NA	33.9	-0.4183	NA	NA	NA	NA	NA	2	0.82	B	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 18, concordance 0.82, different risk tertiles) — treat as uncertain
SPL250502092712	ADHD	MONDO_0007743	PGS003753	36811275	35445	EUR	32195	0.9083	EUR	EUR	NA	51.7	0.0528	NA	NA	NA	NA	NA	2	0.882	B	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	systemic lupus erythematosus	MONDO_0007915	PGS003755	37011055	122	EAS	77	0.6311	EUR	EUR	NA	23.4	-0.7077	NA	NA	NA	NA	NA	2	1.0	C	false	low variant coverage (63% of 122 scoring variants matched) — input is not full-genotype; raw score is biased and NOT a valid PRS | explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	systemic lupus erythematosus	MONDO_0007915	PGS003756	37011055	112	EAS	77	0.6875	EUR	EUR	NA	23.4	-0.7077	NA	NA	NA	NA	NA	2	1.0	C	false	low variant coverage (69% of 112 scoring variants matched) — input is not full-genotype; raw score is biased and NOT a valid PRS | explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	prostate cancer	MONDO_0005159	PGS003765	37945903	451	MAE	320	0.7095	EUR	EUR	NA	8.8	-1.4103	NA	NA	0.0465	0.125	0.341	2	0.914	C	false	low variant coverage (71% of 451 scoring variants matched) — input is not full-genotype; raw score is biased and NOT a valid PRS | absolute risk ~5% for a male vs ~12% population baseline (odds-scale, per-SD effect 1.9, illustrative — verify per release) | explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	prostate cancer	MONDO_0005159	PGS003766	37945903	451	MAE	346	0.7672	EUR	EUR	NA	17.4	-0.9429	NA	NA	0.0598	0.125	0.446	2	0.914	A	false	absolute risk ~6% for a male vs ~12% population baseline (odds-scale, per-SD effect 1.9, illustrative — verify per release) | explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	LDL cholesterol	EFO_0004611	PGS003873	37852978	1069677	EUR	959619	0.8971	EUR	EUR	NA	13.6	-1.0733	NA	NA	NA	NA	NA	2	0.933	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	HDL cholesterol	EFO_0004612	PGS003879	37852978	1069677	EUR	959619	0.8971	EUR	EUR	NA	65.5	0.3364	NA	NA	NA	NA	NA	2	0.985	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	triglycerides	EFO_0004530	PGS003881	37852978	54623	EUR	49000	0.8971	EUR	EUR	NA	36.7	-0.3322	NA	NA	NA	NA	NA	2	0.944	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	Alzheimer disease	MONDO_0004975	PGS003958	37649099	14109	EUR	13045	0.9246	EUR	EUR	NA	27.9	-0.644	NA	NA	0.1145	0.2	0.517	2	0.874	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	abdominal aortic aneurysm	MONDO_0005350	PGS003972	37845353	1118997	EUR	1002786	0.8961	EUR	EUR	NA	4.5	-1.7119	NA	NA	NA	NA	NA	2	0.985	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	abdominal aortic aneurysm	MONDO_0005350	PGS003973	37845353	1118997	EUR	1002786	0.8961	EUR	EUR	NA	3.0	-1.9011	NA	NA	NA	NA	NA	2	0.985	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	LDL cholesterol	EFO_0004611	PGS003978	38075701	348056	EUR	314596	0.9039	EUR	EUR	NA	6.9	-1.4637	NA	NA	NA	NA	NA	2	0.933	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	inflammatory bowel disease	MONDO_0005265	PGS003981	38908374	1103311	MAE	994821	0.9017	EUR	EUR	NA	94.0	1.5005	NA	NA	0.0273	0.013	2.132	2	0.974	B	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	type 1 diabetes	MONDO_0005147	PGS003993	38908374	63182	EUR	57212	0.9055	EUR	EUR	NA	97.2	2.2337	NA	NA	NA	NA	NA	2	0.94	B	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	rheumatoid arthritis	MONDO_0008383	PGS003994	38908374	778205	EAS	692214	0.8895	EUR	EUR	NA	93.3	1.5026	NA	NA	0.0606	0.036	1.728	2	0.96	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	inflammatory bowel disease	MONDO_0005265	PGS004151	38908374	1102205	MAE	993814	0.9017	EUR	EUR	NA	96.6	1.7067	NA	NA	0.032	0.013	2.51	2	0.974	B	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	rheumatoid arthritis	MONDO_0008383	PGS004163	38908374	778275	EAS	692279	0.8895	EUR	EUR	NA	97.3	2.0451	NA	NA	0.0719	0.036	2.073	2	0.96	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	endometrial cancer	MONDO_0002447	PGS004244	37087533	16	EUR	13	0.8125	EUR	EUR	NA	9.9	-1.366	NA	NA	NA	NA	NA	2	0.944	B	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	intelligence	EFO_0004337	PGS004427	38351177	1059939	EUR	950307	0.8966	EUR	EUR	NA	15.9	-1.0146	NA	NA	NA	NA	NA	2	0.82	D	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 18, concordance 0.82, different risk tertiles) — treat as uncertain
SPL250502092712	hypertension	MONDO_0001134	PGS004456	38351177	1059939	EUR	950307	0.8966	EUR	EUR	NA	16.0	-0.9961	NA	NA	NA	NA	NA	2	0.647	D	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 35, concordance 0.647, different risk tertiles) — treat as uncertain
SPL250502092712	hypertension	MONDO_0001134	PGS004526	38351177	1059939	EUR	950307	0.8966	EUR	EUR	NA	51.3	-0.0006	NA	NA	NA	NA	NA	2	0.647	D	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 35, concordance 0.647, different risk tertiles) — treat as uncertain
